num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S019354;12/05/2023;10:30:00;CALL. BELZUNEGUI, 27;27;11;CARABANCHEL;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 40 a 44 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;437287.334;4469543.912;N;NULL
2023S019355;12/05/2023;12:00:00;RONDA. SEGOVIA, 37;37;1;CENTRO;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;439098.537;4473548.336;N;NULL
2023S019355;12/05/2023;12:00:00;RONDA. SEGOVIA, 37;37;1;CENTRO;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;439098.537;4473548.336;N;NULL
2023S019355;12/05/2023;12:00:00;RONDA. SEGOVIA, 37;37;1;CENTRO;Alcance;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;14;Sin asistencia sanitaria;439098.537;4473548.336;N;NULL
2023S019355;12/05/2023;12:00:00;RONDA. SEGOVIA, 37;37;1;CENTRO;Alcance;Despejado;Turismo;Pasajero;De 45 a 49 años;Mujer;14;Sin asistencia sanitaria;439098.537;4473548.336;N;NULL
2023S019355;12/05/2023;12:00:00;RONDA. SEGOVIA, 37;37;1;CENTRO;Alcance;Despejado;Turismo;Pasajero;De 65 a 69 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439098.537;4473548.336;N;NULL
2023S019355;12/05/2023;12:00:00;RONDA. SEGOVIA, 37;37;1;CENTRO;Alcance;Despejado;Turismo;Pasajero;De 70 a 74 años;Hombre;14;Sin asistencia sanitaria;439098.537;4473548.336;N;NULL
2023S019357;12/05/2023;12:25:00;CALL. BRAVO MURILLO / CALL. CEA BERMUDEZ;40;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;Más de 74 años;Hombre;14;Sin asistencia sanitaria;440267.390;4476705.608;N;NULL
2023S019357;12/05/2023;12:25:00;CALL. BRAVO MURILLO / CALL. CEA BERMUDEZ;40;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;VMU eléctrico;Conductor;De 30 a 34 años;Hombre;1;Atención en urgencias sin posterior ingreso;440267.390;4476705.608;N;NULL
2023S019358;12/05/2023;12:55:00;AVDA. ALBUFERA, 3;3;13;PUENTE DE VALLECAS;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 45 a 49 años;Mujer;NULL;NULL;443250.167;4472158.223;N;NULL
2023S019358;12/05/2023;12:55:00;AVDA. ALBUFERA, 3;3;13;PUENTE DE VALLECAS;Colisión lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;NULL;NULL;443250.167;4472158.223;N;NULL
2023S019359;12/05/2023;12:45:00;CALL. HILARION ESLAVA / CALL. DONOSO CORTES;42;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Camión rígido;Conductor;De 18 a 20 años;Hombre;NULL;NULL;439226.488;4476459.298;N;NULL
2023S019359;12/05/2023;12:45:00;CALL. HILARION ESLAVA / CALL. DONOSO CORTES;42;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;NULL;NULL;439226.488;4476459.298;N;NULL
2023S019359;12/05/2023;12:45:00;CALL. HILARION ESLAVA / CALL. DONOSO CORTES;42;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 21 a 24 años;Mujer;NULL;NULL;439226.488;4476459.298;N;NULL
2023S019361;12/05/2023;12:50:00;AVDA. PABLO NERUDA, 72;72;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;445159.181;4470799.945;N;NULL
2023S019361;12/05/2023;12:50:00;AVDA. PABLO NERUDA, 72;72;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;1;Atención en urgencias sin posterior ingreso;445159.181;4470799.945;N;NULL
2023S019361;12/05/2023;12:50:00;AVDA. PABLO NERUDA, 72;72;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;445159.181;4470799.945;N;NULL
2023S019362;12/05/2023;12:35:00;AVDA. FILIPINAS, 16;16;7;CHAMBERÍ;Alcance;Despejado;Furgoneta;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;439759.611;4476841.046;N;NULL
2023S019362;12/05/2023;12:35:00;AVDA. FILIPINAS, 16;16;7;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439759.611;4476841.046;N;NULL
2023S019363;12/05/2023;13:25:00;CALL. PIÑUECAR / EL BERRU;53;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;De 45 a 49 años;Hombre;NULL;NULL;439028.207;4465383.857;N;NULL
